Set No.,Set Name,Player,Country,Age,Specialism,Batting,Bowling,IPL,C/U/A,Base Price
1,M,Trent Boult,New Zealand,32,BOWLER,RHB,LEFT ARM Fast Medium,62,Capped,200
1,M,Pat Cummins,Australia,28,ALL-ROUNDER,RHB,RIGHT ARM Fast,37,Capped,200
1,M,Shikhar Dhawan,India,36,BATSMAN,LHB,Not specified,192,Capped,200
1,M,Shreyas Iyer,India,27,BATSMAN,RHB,RIGHT ARM Leg Spin,87,Capped,200
1,M,Kagiso Rabada,South Africa,26,BOWLER,LHB,RIGHT ARM Fast,50,Capped,200
1,M,Mohammad Shami,India,32,BOWLER,RHB,RIGHT ARM Fast,77,Capped,200
1,M,R. Ashwin,India,35,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,167,Capped,200
1,M,Quinton De Kock,South Africa,29,WICKETKEEPER,LHB,Not specified,77,Capped,200
1,M,Faf Du Plessis,South Africa,37,BATSMAN,RHB,RIGHT ARM Leg Spin,100,Capped,200
1,M,David Warner,Australia,35,BATSMAN,LHB,Not specified,150,Capped,200
2,BA1,Shimron Hetmyer,West Indies,25,BATSMAN,LHB,RIGHT ARM Leg Spin,31,Capped,150
2,BA1,David Miller,South Africa,32,BATSMAN,LHB,Not specified,89,Capped,100
2,BA1,Devdutt Padikkal,India,21,BATSMAN,LHB,RIGHT ARM Off Spin,29,Capped,200
2,BA1,Manish Pandey,India,32,BATSMAN,RHB,RIGHT ARM Off Spin,154,Capped,100
2,BA1,Jason Roy,England,31,BATSMAN,RHB,Not specified,13,Capped,200
2,BA1,Robin Uthappa,India,36,BATSMAN,RHB,Not specified,193,Capped,200
3,AL1,Dwayne Bravo,West Indies,38,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,151,Capped,200
3,AL1,Wanindu Hasaranga,Sri Lanka,24,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,2,Capped,100
3,AL1,Jason Holder,West Indies,30,ALL-ROUNDER,RHB,RIGHT ARM Fast,26,Capped,150
3,AL1,Mitchell Marsh,Australia,30,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,21,Capped,200
3,AL1,Krunal Pandya,India,31,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,84,Capped,200
3,AL1,Harshal Patel,India,31,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,63,Capped,200
3,AL1,Nitish Rana,India,28,ALL-ROUNDER,LHB,RIGHT ARM Off Spin,77,Capped,100
3,AL1,Washington Sundar,India,22,ALL-ROUNDER,LHB,RIGHT ARM Off Spin,42,Capped,150
4,WK1,Jonny Bairstow,England,32,WICKETKEEPER,RHB,Not specified,28,Capped,150
4,WK1,Sam Billings,England,30,WICKETKEEPER,RHB,Not specified,22,Capped,200
